Country,Name,World6 region,World4 region,Latitude,Longitude
kaz,Kazakhstan,europe_central_asia,asia,48.0,68.0
ken,Kenya,sub_saharan_africa,africa,1.0,38.0
kgz,Kyrgyz Republic,europe_central_asia,asia,41.5,75.0
khm,Cambodia,east_asia_pacific,asia,13.0,105.0
kir,Kiribati,east_asia_pacific,asia,1.421,172.984
kna,St. Kitts and Nevis,america,americas,17.33333,-62.75
kor,South Korea,east_asia_pacific,asia,36.5,127.75
kwt,Kuwait,middle_east_north_africa,asia,29.36972,47.97833
lao,Lao,east_asia_pacific,asia,18.0,105.0
lbn,Lebanon,middle_east_north_africa,asia,33.83333,35.83333
lbr,Liberia,sub_saharan_africa,africa,6.5,-9.5
lby,Libya,middle_east_north_africa,africa,28.0,17.0
lca,St. Lucia,america,americas,13.88333,-60.96667
lie,Liechtenstein,europe_central_asia,europe,47.16667,9.53333
lka,Sri Lanka,south_asia,asia,7.75,80.75
lso,Lesotho,sub_saharan_africa,africa,-29.5,28.25
ltu,Lithuania,europe_central_asia,europe,55.41667,24.0
lux,Luxembourg,europe_central_asia,europe,49.61167,6.13
lva,Latvia,europe_central_asia,europe,57.0,25.0
mac,"Macao, China",east_asia_pacific,asia,22.20056,113.54611
mar,Morocco,middle_east_north_africa,africa,32.0,-6.0
mco,Monaco,europe_central_asia,europe,43.73333,7.41667
mda,Moldova,europe_central_asia,europe,47.25,28.58333
mdg,Madagascar,sub_saharan_africa,africa,-20.0,47.0
mdv,Maldives,south_asia,asia,3.2,73.0
mex,Mexico,america,americas,19.42847,-99.12766
mhl,Marshall Islands,east_asia_pacific,asia,7.113,171.236
mkd,North Macedonia,europe_central_asia,europe,41.66667,21.75
mli,Mali,sub_saharan_africa,africa,18.0,-2.0
mlt,Malta,europe_central_asia,europe,35.91667,14.43333
mmr,Myanmar,east_asia_pacific,asia,21.0,96.0
mne,Montenegro,europe_central_asia,europe,42.75,19.25
mng,Mongolia,east_asia_pacific,asia,46.0,105.0
mnp,Northern Mariana Islands,east_asia_pacific,asia,15.214,145.756
moz,Mozambique,sub_saharan_africa,africa,-18.25,35.0
mrt,Mauritania,sub_saharan_africa,africa,20.25,-10.5
msr,Montserrat,america,americas,16.75,-62.2
mtq,Martinique,america,americas,14.66667,-61.0
mus,Mauritius,sub_saharan_africa,africa,-20.3,57.58333
