Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1928,-15.1,-22.3,-12.3,-11.7,-1.3,4.9,5.8,7.8,4.7,-1.2,-5.1,-8.3
1929,-5.6,-11.7,-13.3,-12.4,-4.2,1.9,6.0,6.3,1.3,-6.2,-9.7,-12.7
1930,-17.4,-17.8,-12.5,-9.4,-2.5,1.8,6.9,6.4,3.1,-3.8,-5.6,-12.2
1931,-10.8,-18.6,-21.2,0.0,-1.8,6.3,7.8,7.9,4.1,-3.1,-7.9,-12.1
1932,-21.5,-14.9,-11.2,-9.3,0.8,3.0,6.7,0.0,0.0,-3.3,-8.7,-11.9
1933,-21.4,-15.4,-17.2,-11.9,-2.6,1.9,7.0,5.7,0.7,-2.6,-6.1,-7.8
1934,-17.8,-23.5,0.0,-11.7,-4.0,2.1,6.1,5.2,2.2,-3.0,-6.8,-10.3
1935,-20.0,-26.6,-15.8,-9.2,-3.4,3.8,5.7,7.0,2.7,-3.4,-6.1,-10.1
1936,-10.9,-13.4,-17.3,-9.4,-1.6,3.0,7.8,6.2,1.4,-3.3,-7.5,-17.6
1945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.2,-13.1
1946,-16.7,-17.3,-16.1,-16.3,-1.2,3.1,4.3,4.8,2.7,-2.7,-4.2,-9.1
1947,-7.7,-6.7,-13.1,-12.0,-1.9,2.3,4.8,3.4,1.2,-3.3,-4.7,-9.0
1948,-13.2,-16.2,-19.5,-12.6,-3.5,3.9,5.1,4.5,0.7,-3.0,-7.7,-19.3
1949,-19.6,-25.5,-17.4,-16.1,-4.4,3.9,6.4,6.1,0.3,-4.0,-8.8,-12.8
1950,-19.8,-21.6,-18.4,-16.4,-2.5,3.5,5.6,4.9,0.9,-3.8,-7.3,-9.2
1951,-15.8,-24.2,-18.3,-14.6,-2.5,2.1,6.0,5.2,1.6,-6.4,-6.9,-18.2
1952,-19.7,-20.1,-22.7,-14.3,-2.4,3.5,5.4,7.2,2.1,-4.4,-5.1,-8.3
1953,-14.0,-21.1,-22.7,-7.8,-1.5,0.5,5.9,4.8,0.6,-5.4,-12.0,-21.3
1954,-16.6,-19.2,-19.5,-8.0,-2.1,2.1,5.1,6.1,1.1,-3.4,-8.2,-16.9
1955,-22.0,-17.5,-18.5,-17.4,-4.2,3.2,4.7,4.3,0.6,-0.4,-8.5,-12.5
1956,-19.5,-19.9,-21.4,-11.2,-4.9,1.5,5.7,6.3,0.7,-4.2,-10.6,-16.2
1957,-21.8,-19.3,-18.9,-15.3,-2.8,5.2,8.5,7.2,3.0,-5.5,-8.3,-15.1
1958,-18.4,-16.4,-18.7,-17.0,-2.1,1.3,5.5,4.6,-1.4,-5.0,-14.9,-14.4
1959,-12.4,-19.7,-26.6,-13.9,-3.0,2.8,5.5,4.4,0.5,-3.5,-7.9,-17.3
1960,-16.8,-16.9,-24.1,-17.5,-4.7,2.4,8.8,8.9,1.2,-0.2,-5.1,-11.1
1961,-19.5,-26.7,-25.1,-12.2,-4.8,2.2,5.3,6.4,0.4,-4.4,-11.3,-14.5
1962,-16.7,-21.4,-12.3,-9.7,-2.0,2.1,6.9,5.8,0.5,-4.7,-6.5,-9.6
1963,-8.9,-12.2,-19.9,-12.3,-5.6,-0.5,4.4,6.8,0.6,-5.4,-8.1,-10.3
1964,-16.5,-13.9,-24.4,-14.5,-9.4,1.7,2.4,4.1,1.6,-6.4,-11.3,-12.6
1965,-17.8,-11.9,-19.9,-15.3,0.4,0.6,4.9,5.9,1.5,-3.5,-4.5,-12.4
1966,-19.8,-15.2,-21.7,-15.5,-6.7,2.2,3.7,6.9,1.6,-1.3,-6.9,-11.7
1967,-11.2,-18.5,-17.4,-13.7,-0.9,1.2,6.4,5.9,0.3,-5.4,-9.9,-11.5
1968,-21.0,-20.8,-22.5,-7.5,-2.4,1.9,6.7,5.1,1.7,-2.4,-7.1,-11.7
1969,-12.0,-14.1,-21.7,-15.2,-1.6,1.5,4.8,5.4,0.6,-5.3,-7.1,-13.3
1970,-22.3,-15.3,-22.2,-14.5,-7.1,0.2,3.4,2.0,2.4,-2.8,-6.6,-14.3
1971,-19.3,-23.9,-20.8,-14.9,-4.3,3.2,6.9,3.6,0.7,-5.2,-9.2,-23.7
1972,-20.3,-20.4,-22.0,-16.2,-3.3,0.1,2.6,3.5,2.1,-3.1,-9.9,-16.5
1973,-14.0,-24.0,-22.4,-11.5,-5.5,0.9,3.7,4.2,0.6,-2.6,-7.9,-11.4
1974,-19.0,-19.4,-17.0,-10.3,-4.3,1.3,4.0,5.4,1.0,-2.8,-10.2,-20.7
1975,-21.2,-19.9,-23.0,-15.1,-2.6,2.2,6.1,5.5,0.2,-3.0,-10.6,-17.1
1976,-19.3,-19.9,-18.2,-15.8,-5.3,1.4,4.9,3.8,2.2,-4.9,-9.8,-11.1
1977,-14.3,-19.3,-17.0,-10.2,-3.0,1.1,6.1,0.0,-0.2,-3.8,-6.4,-16.5
1978,-19.4,-21.0,-22.1,-14.3,-4.3,1.2,8.0,6.4,0.2,-4.1,-12.7,-5.8
1979,-11.5,-25.3,-17.8,-10.5,-6.0,1.9,5.8,5.6,1.0,-3.5,-9.9,-14.7
1980,-9.1,-16.5,-13.8,-12.9,-2.6,0.9,7.3,5.2,1.1,-3.4,-6.2,-13.8
1981,-20.4,-22.7,-17.5,-13.0,-2.6,2.9,0.0,0.0,0.0,0.0,0.0,0.0
1988,-21.7,-14.4,-19.9,-11.8,-2.5,0.9,0.0,6.8,0.0,0.0,0.0,0.0
1989,0.0,0.0,-23.8,-12.4,-6.3,0.5,4.4,3.4,-1.3,-4.8,-7.9,-15.6
1990,-22.3,-25.7,-23.4,-14.6,-4.1,5.0,4.5,3.9,-0.2,0.0,0.0,-17.9
1991,-23.8,-18.0,-18.6,-17.9,-6.3,1.5,6.3,0.0,0.0,-4.2,-8.8,-15.8
1992,-18.3,-27.6,-25.0,-14.8,-6.2,-0.4,4.0,3.0,0.0,-1.4,-11.7,-17.3
1993,0.0,-24.0,-26.9,-14.1,-3.9,1.3,6.2,3.7,2.7,-2.8,-11.5,-16.7
1994,-21.5,-17.8,-24.5,-11.5,-2.2,1.0,5.2,4.4,0.2,-5.7,-9.1,-18.7
1995,-24.6,-24.6,-24.8,-9.0,-1.1,3.6,6.3,5.4,3.2,-4.9,0.0,0.0
1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,-1.0,-7.1,-11.7,-10.6
1997,-16.3,-24.8,-21.2,-16.6,-3.5,4.5,3.4,2.7,-1.7,-4.4,-6.4,-10.5
